id,menu_id,page_number,image_id,full_height,full_width,uuid
44423,26338,6.0,2049166,5254.0,3611.0,a54b7c66-c368-8c09-e040-e00a18060630
44424,26338,7.0,2049167,5296.0,3771.0,a54b7c66-c369-8c09-e040-e00a18060630
44425,26339,1.0,2042014,5284.0,3728.0,a4958095-4557-074d-e040-e00a1806792c
44426,26339,2.0,2049170,5247.0,3585.0,a54a8172-4688-c5b7-e040-e00a18060673
44427,26339,3.0,2049171,5295.0,3684.0,a54a8172-4689-c5b7-e040-e00a18060673
44428,26339,4.0,2049172,5247.0,3057.0,a54a8172-468a-c5b7-e040-e00a18060673
44429,26339,5.0,2049173,5245.0,3344.0,a54a8172-468b-c5b7-e040-e00a18060673
44430,26339,6.0,2049174,5250.0,3598.0,a54a8172-468c-c5b7-e040-e00a18060673
44431,26339,7.0,2049175,5310.0,3749.0,a54a8172-468d-c5b7-e040-e00a18060673
44432,26340,1.0,2042015,5402.0,3833.0,a4958095-4558-074d-e040-e00a1806792c
44433,26340,2.0,2042531,5361.0,3756.0,a4990244-ef44-774e-e040-e00a180631af
44434,26340,3.0,2042532,5433.0,3694.0,a4990244-ef45-774e-e040-e00a180631af
44435,26340,4.0,2042533,5385.0,1464.0,a4990244-ef46-774e-e040-e00a180631af
44436,26340,5.0,2042534,5350.0,2920.0,a4990244-ef47-774e-e040-e00a180631af
44437,26340,6.0,2042535,5362.0,3770.0,a4990244-ef48-774e-e040-e00a180631af
44438,26340,7.0,2042536,5410.0,3857.0,a4990244-ef49-774e-e040-e00a180631af
44439,26341,1.0,2042016,5411.0,3849.0,a4958095-4559-074d-e040-e00a1806792c
44440,26341,2.0,2042537,5364.0,3749.0,a4985c64-e292-05ff-e040-e00a180611fe
44441,26341,3.0,2042538,5425.0,3691.0,a4985c64-e293-05ff-e040-e00a180611fe
44442,26341,4.0,2042539,5348.0,3197.0,a4985c64-e294-05ff-e040-e00a180611fe
44443,26341,5.0,2042540,5348.0,3415.0,a4985c64-e295-05ff-e040-e00a180611fe
44444,26341,6.0,2042541,5346.0,3701.0,a4985c64-e296-05ff-e040-e00a180611fe
44445,26341,7.0,2042542,5427.0,3859.0,a4985c64-e297-05ff-e040-e00a180611fe
44446,26342,1.0,2042017,5272.0,3746.0,a4958095-455a-074d-e040-e00a1806792c
44447,26342,2.0,2049189,5256.0,3614.0,a54a861d-30a7-4d8a-e040-e00a18060699
44448,26342,3.0,2049190,5260.0,3612.0,a54a861d-30a8-4d8a-e040-e00a18060699
44449,26342,4.0,2049191,5256.0,1450.0,a54a861d-30a9-4d8a-e040-e00a18060699
44450,26342,5.0,2049192,5280.0,2863.0,a54a861d-30aa-4d8a-e040-e00a18060699
44451,26342,6.0,2049193,5241.0,3586.0,a54a861d-30ab-4d8a-e040-e00a18060699
44452,26342,7.0,2049194,5297.0,3739.0,a54a861d-30ac-4d8a-e040-e00a18060699
44453,26343,1.0,2042018,5460.0,3856.0,a4958095-455b-074d-e040-e00a1806792c
44454,26343,2.0,2042548,5359.0,3745.0,a497bb2c-6cba-73a6-e040-e00a1806309e
